Longitude..x.,Latitude..y.,Year,Month,Province,Mean.Temp...C.
-113.54,54.82,1987,1,AB,-7.6
-113.54,54.82,1987,2,AB,-5.4
-113.54,54.82,1987,3,AB,-5.9
-113.54,54.82,1987,4,AB,6.5
-113.54,54.82,1987,5,AB,11.5
-113.54,54.82,1987,6,AB,16
-113.54,54.82,1987,7,AB,17.1
-113.54,54.82,1987,8,AB,13.2
-113.54,54.82,1987,9,AB,13
-113.54,54.82,1987,10,AB,5.3
-113.54,54.82,1987,11,AB,-0.1
-113.54,54.82,1987,12,AB,-7.4
-113.54,54.82,1988,1,AB,-14.4
-113.54,54.82,1988,2,AB,-10.5
-113.54,54.82,1988,3,AB,0.9
-113.54,54.82,1988,4,AB,6.3
-113.54,54.82,1988,5,AB,12
-113.54,54.82,1988,6,AB,15.5
-113.54,54.82,1988,7,AB,16.1
-113.54,54.82,1988,8,AB,15.2
-113.54,54.82,1988,9,AB,10.4
-113.54,54.82,1988,10,AB,5.2
-113.54,54.82,1988,11,AB,-5.5
-113.54,54.82,1988,12,AB,-9.6
-113.54,54.82,1989,1,AB,-11.6
-113.54,54.82,1989,2,AB,-14.7
-113.54,54.82,1989,3,AB,-10.7
-113.54,54.82,1989,4,AB,4.4
-113.54,54.82,1989,5,AB,10.5
-113.54,54.82,1989,6,AB,14.3
-113.54,54.82,1989,7,AB,17.3
-113.54,54.82,1989,8,AB,16.2
-113.54,54.82,1989,9,AB,10.3
-113.54,54.82,1989,10,AB,3.8
-113.54,54.82,1989,11,AB,-4.6
-113.54,54.82,1989,12,AB,-9.2
-113.54,54.82,1990,1,AB,-10.9
-113.54,54.82,1990,2,AB,-12.8
-113.54,54.82,1990,3,AB,-0.9
-113.54,54.82,1990,4,AB,3.7
-113.54,54.82,1990,5,AB,10.9
-113.54,54.82,1990,6,AB,15.1
-113.54,54.82,1990,7,AB,16.7
-113.54,54.82,1990,8,AB,15.9
-113.54,54.82,1990,9,AB,12.3
-113.54,54.82,1990,10,AB,1.9
-113.54,54.82,1990,11,AB,-9.6
-113.54,54.82,1990,12,AB,-16.5
-113.54,54.82,1991,1,AB,-13.6
-113.54,54.82,1991,2,AB,-4.3
-113.54,54.82,1991,3,AB,-5.3
-113.54,54.82,1991,4,AB,6.3
-113.54,54.82,1991,5,AB,11.5
-113.54,54.82,1991,6,AB,13.8
-113.54,54.82,1991,7,AB,16.8
-113.54,54.82,1991,8,AB,18.3
-113.54,54.82,1991,9,AB,10
-113.54,54.82,1991,10,AB,0.7
-113.54,54.82,1991,11,AB,-7.6
-113.54,54.82,1991,12,AB,-10.2
-113.54,54.82,1992,1,AB,-8.4
-113.54,54.82,1992,2,AB,-7.8
-113.54,54.82,1992,3,AB,1.3
-113.54,54.82,1992,4,AB,5.3
-113.54,54.82,1992,5,AB,9.6
-113.54,54.82,1992,6,AB,15.1
-113.54,54.82,1992,7,AB,15.2
-113.54,54.82,1992,8,AB,14.3
-113.54,54.82,1992,9,AB,7.5
-113.54,54.82,1992,10,AB,3.1
-113.54,54.82,1992,11,AB,-2.7
-113.54,54.82,1992,12,AB,-17.4
-113.54,54.82,1993,1,AB,-15.1
-113.54,54.82,1993,2,AB,-8.9
-113.54,54.82,1993,3,AB,-0.8
-113.54,54.82,1993,4,AB,4.3
-113.54,54.82,1993,5,AB,11.4
-113.54,54.82,1993,6,AB,13.4
-113.54,54.82,1993,7,AB,14.9
-113.54,54.82,1993,8,AB,14.7
-113.54,54.82,1993,9,AB,9.8
-113.54,54.82,1993,10,AB,4.4
-113.54,54.82,1993,11,AB,-5
-113.54,54.82,1993,12,AB,-7.1
-113.54,54.82,1994,1,AB,-17.7
-113.54,54.82,1994,2,AB,-20.1
-113.54,54.82,1994,3,AB,-0.7
-113.54,54.82,1994,4,AB,4.6
-113.54,54.82,1994,5,AB,10.9
